industry_name,series_id,year,month,date,employment,month_name,quarter
Construction,CES2000000001,2024,1,1/1/2024,8123,Jan,Q1
Construction,CES2000000001,2024,2,2/1/2024,8132,Feb,Q1
Construction,CES2000000001,2024,3,3/1/2024,8164,Mar,Q1
Construction,CES2000000001,2024,4,4/1/2024,8170,Apr,Q2
Construction,CES2000000001,2024,5,5/1/2024,8176,May,Q2
Construction,CES2000000001,2024,6,6/1/2024,8196,Jun,Q2
Construction,CES2000000001,2024,7,7/1/2024,8208,Jul,Q3
Construction,CES2000000001,2024,8,8/1/2024,8236,Aug,Q3
Construction,CES2000000001,2024,9,9/1/2024,8254,Sep,Q3
Construction,CES2000000001,2024,10,10/1/2024,8262,Oct,Q4
Construction,CES2000000001,2024,11,11/1/2024,8267,Nov,Q4
Construction,CES2000000001,2024,12,12/1/2024,8276,Dec,Q4
Construction,CES2000000001,2025,1,1/1/2025,8264,Jan,Q1
Construction,CES2000000001,2025,2,2/1/2025,8267,Feb,Q1
Construction,CES2000000001,2025,3,3/1/2025,8273,Mar,Q1
Construction,CES2000000001,2025,4,4/1/2025,8271,Apr,Q2
Construction,CES2000000001,2025,5,5/1/2025,8269,May,Q2
Construction,CES2000000001,2025,6,6/1/2025,8267,Jun,Q2
Construction,CES2000000001,2025,7,7/1/2025,8261,Jul,Q3
Construction,CES2000000001,2025,8,8/1/2025,8239,Aug,Q3
Construction,CES2000000001,2025,9,9/1/2025,8255,Sep,Q3
Construction,CES2000000001,2025,10,10/1/2025,8243,Oct,Q4
Construction,CES2000000001,2025,11,11/1/2025,8279,Nov,Q4
Construction,CES2000000001,2025,12,12/1/2025,8275,Dec,Q4
Financial activities,CES5500000001,2024,1,1/1/2024,9165,Jan,Q1
Financial activities,CES5500000001,2024,2,2/1/2024,9151,Feb,Q1
Financial activities,CES5500000001,2024,3,3/1/2024,9149,Mar,Q1
Financial activities,CES5500000001,2024,4,4/1/2024,9144,Apr,Q2
Financial activities,CES5500000001,2024,5,5/1/2024,9147,May,Q2
Financial activities,CES5500000001,2024,6,6/1/2024,9159,Jun,Q2
Financial activities,CES5500000001,2024,7,7/1/2024,9154,Jul,Q3
Financial activities,CES5500000001,2024,8,8/1/2024,9162,Aug,Q3
Financial activities,CES5500000001,2024,9,9/1/2024,9162,Sep,Q3
Financial activities,CES5500000001,2024,10,10/1/2024,9164,Oct,Q4
Financial activities,CES5500000001,2024,11,11/1/2024,9173,Nov,Q4
Financial activities,CES5500000001,2024,12,12/1/2024,9179,Dec,Q4
Financial activities,CES5500000001,2025,1,1/1/2025,9187,Jan,Q1
Financial activities,CES5500000001,2025,2,2/1/2025,9199,Feb,Q1
Financial activities,CES5500000001,2025,3,3/1/2025,9201,Mar,Q1
Financial activities,CES5500000001,2025,4,4/1/2025,9205,Apr,Q2
Financial activities,CES5500000001,2025,5,5/1/2025,9211,May,Q2
Financial activities,CES5500000001,2025,6,6/1/2025,9204,Jun,Q2
Financial activities,CES5500000001,2025,7,7/1/2025,9204,Jul,Q3
Financial activities,CES5500000001,2025,8,8/1/2025,9185,Aug,Q3
Financial activities,CES5500000001,2025,9,9/1/2025,9189,Sep,Q3
Financial activities,CES5500000001,2025,10,10/1/2025,9184,Oct,Q4
Financial activities,CES5500000001,2025,11,11/1/2025,9185,Nov,Q4
Financial activities,CES5500000001,2025,12,12/1/2025,9186,Dec,Q4
Health care and social assistance,CES6562000001,2024,1,1/1/2024,22096,Jan,Q1
Health care and social assistance,CES6562000001,2024,2,2/1/2024,22191,Feb,Q1
