2024-01-01,Construction,8123
2024-01-01,Financial activities,9165
2024-01-01,Health care and social assistance,22096
2024-01-01,Information,2963
2024-01-01,Leisure and hospitality,16716
2024-01-01,Manufacturing,12875
2024-01-01,Professional and business services,22668
2024-01-01,Retail trade,15524
2024-01-01,Total nonfarm,157032
2024-02-01,Construction,8132
2024-02-01,Financial activities,9151
2024-02-01,Health care and social assistance,22191
2024-02-01,Information,2958
2024-02-01,Leisure and hospitality,16744
2024-02-01,Manufacturing,12852
2024-02-01,Professional and business services,22658
2024-02-01,Retail trade,15529
2024-02-01,Total nonfarm,157238
2024-03-01,Construction,8164
2024-03-01,Financial activities,9149
2024-03-01,Health care and social assistance,22277
2024-03-01,Information,2951
2024-03-01,Leisure and hospitality,16780
2024-03-01,Manufacturing,12836
2024-03-01,Professional and business services,22631
2024-03-01,Retail trade,15529
2024-03-01,Total nonfarm,157466
2024-04-01,Construction,8170
2024-04-01,Financial activities,9144
2024-04-01,Health care and social assistance,22359
2024-04-01,Information,2940
2024-04-01,Leisure and hospitality,16762
2024-04-01,Manufacturing,12833
2024-04-01,Professional and business services,22616
2024-04-01,Retail trade,15531
2024-04-01,Total nonfarm,157530
2024-05-01,Construction,8176
2024-05-01,Financial activities,9147
2024-05-01,Health care and social assistance,22425
2024-05-01,Information,2930
2024-05-01,Leisure and hospitality,16731
2024-05-01,Manufacturing,12825
2024-05-01,Professional and business services,22633
2024-05-01,Retail trade,15536
2024-05-01,Total nonfarm,157608
2024-06-01,Construction,8196
2024-06-01,Financial activities,9159
2024-06-01,Health care and social assistance,22494
2024-06-01,Information,2930
2024-06-01,Leisure and hospitality,16744
2024-06-01,Manufacturing,12814
2024-06-01,Professional and business services,22606
2024-06-01,Retail trade,15500
2024-06-01,Total nonfarm,157695
2024-07-01,Construction,8208
2024-07-01,Financial activities,9154
2024-07-01,Health care and social assistance,22542
2024-07-01,Information,2917
2024-07-01,Leisure and hospitality,16751
2024-07-01,Manufacturing,12806
2024-07-01,Professional and business services,22584
2024-07-01,Retail trade,15481
2024-07-01,Total nonfarm,157748
2024-08-01,Construction,8236
2024-08-01,Financial activities,9162
2024-08-01,Health care and social assistance,22587
2024-08-01,Information,2909
2024-08-01,Leisure and hospitality,16746
2024-08-01,Manufacturing,12772
2024-08-01,Professional and business services,22544
2024-08-01,Retail trade,15458
2024-08-01,Total nonfarm,157757
2024-09-01,Construction,8254
2024-09-01,Financial activities,9162
2024-09-01,Health care and social assistance,22674
2024-09-01,Information,2903
2024-09-01,Leisure and hospitality,16776
2024-09-01,Manufacturing,12758
2024-09-01,Professional and business services,22525
2024-09-01,Retail trade,15457
2024-09-01,Total nonfarm,157912
2024-10-01,Construction,8262
2024-10-01,Financial activities,9164
2024-10-01,Health care and social assistance,22755
2024-10-01,Information,2887
2024-10-01,Leisure and hospitality,16799
2024-10-01,Manufacturing,12697
2024-10-01,Professional and business services,22486
2024-10-01,Retail trade,15452
2024-10-01,Total nonfarm,157945
2024-11-01,Construction,8267
2024-11-01,Financial activities,9173
2024-11-01,Health care and social assistance,22832
2024-11-01,Information,2885
2024-11-01,Leisure and hospitality,16823
2024-11-01,Manufacturing,12711
2024-11-01,Professional and business services,22499
2024-11-01,Retail trade,15410
2024-11-01,Total nonfarm,158079
2024-12-01,Construction,8276
2024-12-01,Financial activities,9179
2024-12-01,Health care and social assistance,22901
2024-12-01,Information,2895
2024-12-01,Leisure and hospitality,16862
2024-12-01,Manufacturing,12693
2024-12-01,Professional and business services,22532
2024-12-01,Retail trade,15460
2024-12-01,Total nonfarm,158316
2025-01-01,Construction,8264
