Construction,2024-01-01,8123,8123
Construction,2024-02-01,8132,16255
Construction,2024-03-01,8164,24419
Construction,2024-04-01,8170,32589
Construction,2024-05-01,8176,40765
Construction,2024-06-01,8196,48961
Construction,2024-07-01,8208,57169
Construction,2024-08-01,8236,65405
Construction,2024-09-01,8254,73659
Construction,2024-10-01,8262,81921
Construction,2024-11-01,8267,90188
Construction,2024-12-01,8276,98464
Construction,2025-01-01,8264,106728
Construction,2025-02-01,8267,114995
Construction,2025-03-01,8273,123268
Construction,2025-04-01,8271,131539
Construction,2025-05-01,8269,139808
Construction,2025-06-01,8267,148075
Construction,2025-07-01,8261,156336
Construction,2025-08-01,8239,164575
Construction,2025-09-01,8255,172830
Construction,2025-10-01,8243,181073
Construction,2025-11-01,8279,189352
Construction,2025-12-01,8275,197627
Financial activities,2024-01-01,9165,9165
Financial activities,2024-02-01,9151,18316
Financial activities,2024-03-01,9149,27465
Financial activities,2024-04-01,9144,36609
Financial activities,2024-05-01,9147,45756
Financial activities,2024-06-01,9159,54915
Financial activities,2024-07-01,9154,64069
Financial activities,2024-08-01,9162,73231
Financial activities,2024-09-01,9162,82393
Financial activities,2024-10-01,9164,91557
Financial activities,2024-11-01,9173,100730
Financial activities,2024-12-01,9179,109909
Financial activities,2025-01-01,9187,119096
Financial activities,2025-02-01,9199,128295
Financial activities,2025-03-01,9201,137496
Financial activities,2025-04-01,9205,146701
Financial activities,2025-05-01,9211,155912
Financial activities,2025-06-01,9204,165116
Financial activities,2025-07-01,9204,174320
Financial activities,2025-08-01,9185,183505
Financial activities,2025-09-01,9189,192694
Financial activities,2025-10-01,9184,201878
Financial activities,2025-11-01,9185,211063
Financial activities,2025-12-01,9186,220249
Health care and social assistance,2024-01-01,22096,22096
Health care and social assistance,2024-02-01,22191,44287
Health care and social assistance,2024-03-01,22277,66564
Health care and social assistance,2024-04-01,22359,88923
Health care and social assistance,2024-05-01,22425,111348
Health care and social assistance,2024-06-01,22494,133842
Health care and social assistance,2024-07-01,22542,156384
Health care and social assistance,2024-08-01,22587,178971
Health care and social assistance,2024-09-01,22674,201645
Health care and social assistance,2024-10-01,22755,224400
Health care and social assistance,2024-11-01,22832,247232
Health care and social assistance,2024-12-01,22901,270133
Health care and social assistance,2025-01-01,22960,293093
Health care and social assistance,2025-02-01,23008,316101
Health care and social assistance,2025-03-01,23076,339177
Health care and social assistance,2025-04-01,23152,362329
Health care and social assistance,2025-05-01,23217,385546
Health care and social assistance,2025-06-01,23278,408824
Health care and social assistance,2025-07-01,23360,432184
Health care and social assistance,2025-08-01,23383,455567
Health care and social assistance,2025-09-01,23438,479005
Health care and social assistance,2025-10-01,23486,502491
Health care and social assistance,2025-11-01,23546,526037
Health care and social assistance,2025-12-01,23595,549632
Information,2024-01-01,2963,2963
Information,2024-02-01,2958,5921
Information,2024-03-01,2951,8872
Information,2024-04-01,2940,11812
Information,2024-05-01,2930,14742
Information,2024-06-01,2930,17672
Information,2024-07-01,2917,20589
Information,2024-08-01,2909,23498
Information,2024-09-01,2903,26401
Information,2024-10-01,2887,29288
Information,2024-11-01,2885,32173
Information,2024-12-01,2895,35068
Information,2025-01-01,2877,37945
Information,2025-02-01,2876,40821
Information,2025-03-01,2867,43688
Information,2025-04-01,2865,46553
Information,2025-05-01,2864,49417
Information,2025-06-01,2863,52280
Information,2025-07-01,2861,55141
Information,2025-08-01,2860,58001
Information,2025-09-01,2859,60860
Information,2025-10-01,2853,63713
Information,2025-11-01,2848,66561
Information,2025-12-01,2842,69403
Leisure and hospitality,2024-01-01,16716,16716
Leisure and hospitality,2024-02-01,16744,33460
Leisure and hospitality,2024-03-01,16780,50240
Leisure and hospitality,2024-04-01,16762,67002
Leisure and hospitality,2024-05-01,16731,83733
Leisure and hospitality,2024-06-01,16744,100477
Leisure and hospitality,2024-07-01,16751,117228
Leisure and hospitality,2024-08-01,16746,133974
Leisure and hospitality,2024-09-01,16776,150750
